id,title,year,parental_guid,runtime,storyline,gross_us_canada,movie_id,parental_guide
,Aliens,1986,,137,"57 years after Ellen Ripley had a close encounter with the reptilian alien creature from the first movie, she is called back, this time, to help a group of highly trained colonial marines fight off against the sinister extraterrestrials. But this time, the aliens have taken over a space colony on the moon LV-426. When the colonial marines are called upon to search the deserted space colony, they later find out that they are up against more than what they bargained for. Using specially modified machine guns and enough firepower, it&#39;s either fight or die as the space marines battle against the aliens. As the Marines do their best to defend themselves, Ripley must attempt to protect a young girl who is the sole survivor of the nearly wiped out space colony.","$85,160,248",tt0090605,R
,Spider-Man: Into the Spider-Verse,2018,,117,"Phil Lord and Christopher Miller, the creative minds behind The Lego Movie and 21 Jump Street, bring their unique talents to a fresh vision of a different Spider-Man Universe, with a groundbreaking visual style that&#39;s the first of its kind. &quot;Spider-Man(TM): Into the Spider-Verse&quot; introduces Brooklyn teen Miles Morales (Shameik Moore), and the limitless possibilities of the Spider-Verse, where more than one can wear the mask.","$190,241,310",tt4633694,PG
,American Beauty,1999,,122,"After his death sometime in his 43rd year, suburbanite Lester Burnham tells of the last few weeks of his life, during which he had no idea of his imminent passing. He is a husband to real estate agent Carolyn Burnham and father to high school student Jane Burnham. Although Lester and Carolyn once loved each other, they now merely tolerate each other. Typical wallflower Jane also hates both her parents; the three suffer individually in silence in their home life. Jane tries to steer clear of both her parents. Carolyn, relatively new to the real estate business, wants to create the persona of success to further her career, aspiring to the professional life of Buddy Kane, the king of the real estate business in their neighborhood. Lester merely walks mindlessly through life, including at his job in advertising. His company is downsizing, and he, like all the other employees, has to justify his position to the newly hired efficiency expert to keep his job. Things change for Lester when he falls in love at first sight with Jane&#39;s more experienced classmate, Angela Hayes. Both Janie and Angela can see Lester&#39;s sexual infatuation with Angela, who courts such attention from any man as a sign that she is model material, she having once appeared in Seventeen and is a career to which she aspires. Lester&#39;s infatuation with Angela gives him a reenergized view on life, where he openly doesn&#39;t care anymore what anyone thinks about what he does, anyone except Angela. This infatuation coincides with the Fittses moving in next door: homophobic disciplinarian US Marine Colonel Frank Fitts who rules the house with a military fist (that fist being both figurative and literal), his semi-comatose wife Barbara Fitts, and their bright and quietly subversive 18-year-old son Ricky Fitts, who openly abides by his father&#39;s rules while behind the scenes lives by his own quite different perspective. Much like Lester&#39;s infatuation, Ricky immediately becomes infatuated with Jane; he considers girls like Angela as ordinary. The entry of Angela and the Fittses into the Burnhams&#39; lives ultimately leads to each of the players confronting what is truly in his or her heart.","$130,096,601",tt0169547,R
,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,95,"Paranoid Brigadier General Jack D. Ripper of Burpelson Air Force Base, believing that fluoridation of the American water supply is a Soviet plot to poison the U.S. populace, is able to deploy through a back door mechanism a nuclear attack on the Soviet Union without the knowledge of his superiors, including the Chair of the Joint Chiefs of Staff, General Buck Turgidson, and President Merkin Muffley. Only Ripper knows the code to recall the B-52 bombers and he has shut down communication in and out of Burpelson as a measure to protect this attack. Ripper&#39;s executive officer, RAF Group Captain Lionel Mandrake (on exchange from Britain), who is being held at Burpelson by Ripper, believes he knows the recall codes if he can only get a message to the outside world. Meanwhile at the Pentagon War Room, key persons including Muffley, Turgidson and nuclear scientist and adviser, a former Nazi named Dr. Strangelove, are discussing measures to stop the attack or mitigate its blow-up into an all out nuclear war with the Soviets. Against Turgidson&#39;s wishes, Muffley brings Soviet Ambassador Alexi de Sadesky into the War Room, and get his boss, Soviet Premier Dimitri Kisov, on the hot line to inform him of what&#39;s going on. The Americans in the War Room are dismayed to learn that the Soviets have an as yet unannounced Doomsday Device to detonate if any of their key targets are hit. As Ripper, Mandrake and those in the War Room try and work the situation to their end goal, Major T.J. &quot;King&quot; Kong, one of the B-52 bomber pilots, is working on his own agenda of deploying his bomb where ever he can on enemy soil if he can&#39;t make it to his intended target.","$9,440,272",tt0057012,PG
,The Dark Knight Rises,2012,,164,"Despite his tarnished reputation after the events of The Dark Knight (2008), in which he took the rap for Dent&#39;s crimes, Batman feels compelled to intervene to assist the city and its Police force, which is struggling to cope with Bane&#39;s plans to destroy the city.","$448,149,584",tt1345836,PG-13
,Inglourious Basterds,2009,,153,"In German-occupied France, young Jewish refugee Shosanna Dreyfus witnesses the slaughter of her family by Colonel Hans Landa. Narrowly escaping with her life, she plots her revenge several years later when German war hero Fredrick Zoller takes a rapid interest in her and arranges an illustrious movie premiere at the theater she now runs. With the promise of every major Nazi officer in attendance, the event catches the attention of the &quot;Basterds&quot;, a group of Jewish-American guerrilla soldiers led by the ruthless Lt. Aldo Raine. As the relentless executioners advance and the conspiring young girl&#39;s plans are set in motion, their paths will cross for a fateful evening that will shake the very annals of history.","$120,540,719",tt0361748,R
,Oldeuboi,2003,,120,"Oh Dae-Su, an obnoxious drunk abducted on a rainy night in 1988, wakes up in a strange, windowless hotel room. Kept under lock and key for an unknown reason, Oh Dae-Su&#39;s invisible captors keep him fed and systematically sedated to avert suicide, providing only a colour television to keep him company. And after fifteen long years in captivity, perplexed Oh Dae-Su finds himself released. Now, his pitiless abductors encourage Oh Dae-Su to track down the ones behind the mysterious kidnapping and finally get his brutal, longed-for revenge on the unknown tormentor. However, who would hate Oh Dae-Su so much that he would deny him a quick and clean death?","$707,481",tt0364569,R
,Amadeus,1984,,160,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0758283/"">Antonio Salieri</a> believes that <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0003665/"">Wolfgang Amadeus Mozart</a>&#39;s music is divine and miraculous. He wishes he was himself as good a musician as Mozart so that he can praise the Lord through composing. He began his career as a devout man who believes his success and talent as a composer are God&#39;s rewards for his piety. He&#39;s also content as the respected, financially well-off, court composer of Austrian Emperor Joseph II. But he&#39;s shocked to learn that Mozart is such a vulgar creature, and can&#39;t understand why God favored Mozart to be his instrument. Salieri&#39;s envy has made him an enemy of God whose greatness was evident in Mozart. He is ready to take revenge against God and Mozart for his own musical mediocrity.","$51,973,029",tt0086879,PG
,Coco,2017,,105,"Despite his family&#39;s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel&#39;s family history.","$210,460,015",tt2380307,PG
,Toy Story,1995,,81,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named &quot;Woody&quot;. But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy&#39;s family moving, and what Woody does not know is about Andy&#39;s birthday party. Woody does not realize that Andy&#39;s mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy&#39;s new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.","$223,225,679",tt0114709,G
,Braveheart,1995,,178,"William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace&#39;s father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce.","$75,609,945",tt0112573,R
,Joker,2019,,122,"A socially inept clown for hire - Arthur Fleck aspires to be a stand up comedian among his small job working dressed as a clown holding a sign for advertising. He takes care of his mother- Penny Fleck, and as he learns more about his mental illness, he learns more about his past. Dealing with all the negativity and bullying from society he heads downwards on a spiral, in turn showing how his alter ego &quot;Joker&quot;, came to be.","$335,477,657",tt7286456,R
,Das Boot,1981,,149,"It is 1942 and the German submarine fleet is heavily engaged in the so-called &quot;Battle of the Atlantic&quot; to harass and destroy British shipping. With better escorts of the destroyer class, however, German U-boats have begun to take heavy losses. &quot;Das Boot&quot; is the story of the crew of one such U-Boat, with the film examining how these submariners maintained their professionalism as soldiers and attempted to accomplish impossible missions, all the while attempting to understand and obey the ideology of the government under which they served.","$11,487,676",tt0082096,Nan
,Avengers: Endgame,2019,,181,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos&#39;s actions and undo the chaos to the universe, no matter what consequences may be in store, and no matter who they face...","$858,373,000",tt4154796,PG-13
,Mononoke-hime,1997,,134,"While protecting his village from rampaging boar-god/demon, a confident young warrior, Ashitaka, is stricken by a deadly curse. To save his life, he must journey to the forests of the west. Once there, he&#39;s embroiled in a fierce campaign that humans were waging on the forest. The ambitious Lady Eboshi and her loyal clan use their guns against the gods of the forest and a brave young woman, Princess Mononoke, who was raised by a wolf-god. Ashitaka sees the good in both sides and tries to stem the flood of blood. This is met by animosity by both sides as they each see him as supporting the enemy.","$4,845,631",tt0119698,PG-13
,Good Will Hunting,1997,,126,"A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart.","$138,433,435",tt0119217,R
,Once Upon a Time in America,1984,,229,"With the vivid memory of his long-gone childhood friends Max, Patsy, and Cockeye etched in his mind, his ferociously loyal partners-in-crime during their rise to prominence in New York&#39;s Prohibition-era Lower East Side, the defeated, penniless, and guilt-ridden former gangster David &quot;Noodles&quot; Aaronson returns to Manhattan. Not knowing what to expect on his mission to shed light on his opaque past, grizzled Noodles reunites with his only living friend Fat Moe after 35 haunted years of self-exile. However, the relentless, piercing sound of culpability stands in the way of finding closure, as the inscrutable content of a well-worn leather suitcase further complicates matters. And now, against the backdrop of a torn conscience, the sad, bittersweet recollections of more than 50 years of love, death, and everything in-between become inextricably intertwined, leading to even more puzzling questions. But what are a man&#39;s options when he is left with nothing?","$5,321,508",tt0087843,R
,Kimi no na wa.,2016,,106,Mitsuha is the daughter of the mayor of a small mountain town. She&#39;s a straightforward high school girl who lives with her sister and her grandmother and has no qualms about letting it be known that she&#39;s uninterested in Shinto rituals or helping her father&#39;s electoral campaign. Instead she dreams of leaving the boring town and trying her luck in Tokyo. Taki is a high school boy in Tokyo who works part-time in an Italian restaurant and aspires to become an architect or an artist. Every night he has a strange dream where he becomes...a high school girl in a small mountain town.,"$5,017,246",tt5311514,TV-PG
,Singin' in the Rain,1952,,103,"1927 Hollywood. Monumental Pictures&#39; biggest stars, glamorous on-screen couple Lina Lamont and Don Lockwood, are also an off-screen couple if the trade papers and gossip columns are to be believed. Both perpetuate the public perception if only to please their adoring fans and bring people into the movie theaters. In reality, Don barely tolerates her, while Lina, despite thinking Don beneath her, simplemindedly believes what she sees on screen in order to bolster her own stardom and sense of self-importance. R.F. Simpson, Monumental&#39;s head, dismisses what he thinks is a flash in the pan: talking pictures. It isn&#39;t until <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0018037/"">The Jazz Singer (1927)</a> becomes a bona fide hit which results in all the movie theaters installing sound equipment that R.F. knows Monumental, most specifically in the form of Don and Lina, have to jump on the talking picture bandwagon, despite no one at the studio knowing anything about the technology. Musician Cosmo Brown, Don&#39;s best friend, gets hired as Monumental&#39;s ideas man and musical director. And by this time, Don has secretly started dating Kathy Selden, a chorus girl who is trying to make it big in pictures herself. Don and Kathy&#39;s relationship is despite their less than friendly initial meeting. Cosmo and Kathy help Don, who had worked his way up through the movie ranks to stardom, try make the leap to talking picture stardom, with Kathy following along the way. However, they have to overcome the technological issues. But the bigger problem is Lina, who will do anything to ensure she also makes the successful leap into talking pictures, despite her own inabilities and at anyone and everyone else&#39;s expense if they get in her way, especially Kathy as Don&#39;s off screen girlfriend and possibly his new talking picture leading lady.","$1,884,537",tt0045152,G
,3 Idiots,2009,,170,"Rancho is an engineering student. His two friends. Farhan and Raju, Rancho sees the world in a different way. Rancho goes somewhere one day. And his friends find him. When Rancho is found, he has become one of a great scientist in the world.","$6,532,874",tt1187043,PG-13
,Requiem for a Dream,2000,,102,"Sara Goldfarb (Ellen Burstyn) is a retired widow, living in a small apartment. She spends most of her time watching TV, especially a particular self-help show. She has delusions of rising above her current dull existence by being a guest on that show. Her son, Harry (Jared Leto) is a junkie but along with his friend Tyrone (Marlon Wayans) has visions of making it big by becoming a drug dealer. Harry&#39;s girlfriend Marion (Jennifer Connelly) could be fashion designer or artist but is swept along in Harry&#39;s drug-centric world. Meanwhile Sara has developed an addiction of her own. She desperately wants to lose weight and so goes on a crash course involving popping pills, pills which turn out to be very addictive and harmful to her mental state.","$3,635,482",tt0180093,Unrated
,Tengoku to jigoku,1963,,143,"A wealthy businessman is told his son has been kidnapped and he will have to pay a very large sum for him to be returned safely. It is then discovered that his son is safe at home: the kidnapper took his chauffeur&#39;s son by accident. The kidnapper says this makes no difference: pay up or the child dies. This leaves him with a moral dilemma, as he really needs the money to conclude a very important business deal.","$46,808",tt0057565,Not Rated
,Toy Story 3,2010,,103,"Woody, Buzz and the whole gang are back. As their owner Andy prepares to depart for college, his loyal toys find themselves in daycare where untamed tots with their sticky little fingers do not play nice. So, it&#39;s all for one and one for all as they join Barbie&#39;s counterpart Ken, a thespian hedgehog named Mr. Pricklepants and a pink, strawberry-scented teddy bear called Lots-o&#39;-Huggin&#39; Bear to plan their great escape.","$415,004,880",tt0435761,G
,Capharnaüm,2018,,126,"Capernaüm (&quot;Chaos&quot;) tells the story of Zain (Zain al-Rafeea), a Lebanese boy who sues his parents for the &quot;crime&quot; of giving him life. The film follows Zain as he journeys from gutsy, streetwise child to hardened 12-year-old &quot;adult&quot; fleeing his negligent parents, surviving through his wits on the streets, where he meets Ethiopian migrant worker Rahil, who provides him with shelter and food, as Zain takes care of her baby son Yonas in return. Zain later gets jailed for committing a violent crime, and finally seeks justice in a courtroom.","$1,661,096",tt8267604,R
,Star Wars: Episode VI - Return of the Jedi,1983,,131,"Luke Skywalker battles Jabba the Hutt and Darth Vader to save his comrades in the Rebel Alliance and triumph over the Galactic Empire. Han Solo and Princess Leia reaffirm their love, and team with Chewbacca, Lando Calrissian, the Ewoks, and droids C-3PO and R2-D2 to aid in the disruption of the Dark Side, and the defeat of the evil emperor.","$316,241,418",tt0086190,PG
,2001: A Space Odyssey,1968,,149,"&quot;2001&quot; is a story of evolution. Sometime in the distant past, someone or something nudged evolution by placing a monolith on Earth (presumably elsewhere throughout the universe as well). Evolution then enabled humankind to reach the moon&#39;s surface, where yet another monolith is found, one that signals the monolith placers that humankind has evolved that far. Now mankind, assisted by artificial intelligence (such as HAL), must dare to encounter the monolith placers. If successful we will achieve the next step in evolution, whatever that may be.","$60,481,243",tt0062622,G
,Eternal Sunshine of the Spotless Mind,2004,,108,"Much to his surprise, timid Joel Barish is shocked to discover that the love of his life, sparky Clementine, has had him erased from her memory. As a result, hurt and angry, Joel wants to pay her back in the same coin, going as far as to undergo a painless but intricate medical procedure to do the same. However, poor Joel is utterly unaware that darkness is an essential part of the light. And as the once-cherished recollections of Clementine gradually fade away, giving way to a soulless black void, something unexpected happens. Now Joel has second thoughts, toying with the idea of stopping the irreversible process. Who said ignorance is bliss?","$34,400,301",tt0338013,R
,Idi i smotri,1985,,142,"The feature film directed by Elem Klimov, shot in the genre of military drama. The action takes place on the territory of Belarus in 1943. In the center of the story is a Belarusian boy, who witnesses the horrors of the Nazi punitive action, turning from a cheerful teenager into a gray-haired old man for two days.","$71,909",tt0091251,Not Rated
,Reservoir Dogs,1992,,99,"Six thugs, who are strangers to each other, are hired by a crime boss, Joe Cabot, to carry out a diamond robbery. Right at the outset, they are given false names with the intention that they won&#39;t get too close and will concentrate on the job instead. They are completely sure that the robbery is going to be a success. But, when the police show up right at the time and the site of the robbery, panic spreads amongst the group members, and two of them are killed in the subsequent shootout, along with a few policemen and civilians. When the remaining people assemble at the premeditated rendezvous point (a warehouse), they begin to suspect that one of them is an undercover cop.","$2,832,029",tt0105236,R
,Jagten,2012,,115,"Lucas is a Kindergarten teacher who takes great care of his students. Unfortunately for him, young Klara has a run-away imagination and concocts a lie about her teacher. Before Lucas is even able to understand the consequences, he has become the outcast of the town. The hunt is on to prove his innocence before it&#39;s taken from him for good.","$613,308",tt2106476,R
,Lawrence of Arabia,1962,,218,"Due to his knowledge of the native Bedouin tribes, British Lieutenant <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0493042/"">T.E. Lawrence</a> is sent to Arabia to find Prince Faisal and serve as a liaison between the Arabs and the British in their fight against the Turks. With the aid of native Sherif Ali, Lawrence rebels against the orders of his superior officer and strikes out on a daring camel journey across the harsh desert to attack a well-guarded Turkish port.","$45,306,425",tt0056172,Approved
,Citizen Kane,1941,,119,"A group of reporters are trying to decipher the last word ever spoken by Charles Foster Kane, the millionaire newspaper tycoon: &quot;Rosebud.&quot; The film begins with a news reel detailing Kane&#39;s life for the masses, and then from there, viewers are shown flashbacks from Kane&#39;s life. As the reporters investigate further, the viewers see a display of a fascinating man&#39;s rise to fame, and how he eventually fell off the top of the world.","$1,627,530",tt0033467,PG
,M - Eine Stadt sucht einen Mörder,1931,,117,"There have been a rash of child abductions and murders in Berlin. The murderer lures the children into his confidence by candy and other such child friendly items. Everyone is on edge because the murderer has not been caught. The most substantial pieces of evidence the police have are hand written letters by the murderer which he sent to the newspaper for publication. Unknown even to himself, a blind beggar, who sold the murderer a balloon for one of the child victims, may have key information as to the murderer&#39;s identity. The murder squad&#39;s work is made even more difficult with the large number of tips they receive from the paranoid public, who are quick to accuse anyone of suspicious activity solely for their own piece of mind that someone - anyone - is apprehended for the heinous crimes. Conversely, many want to take the case into their own hands, including the town&#39;s leading criminals since the increased police presence has placed a strain on their ability to conduct criminal activity. Although they both have the same end goal of capturing the murderer, the police and the criminals seem to be working at cross purposes, which may provide an edge to the murderer in getting away.","$35,566",tt0022100,Passed
,Ikiru,1952,,143,"Kanji Watanabe is a civil servant. He has worked in the same department for 30 years. His life is boring and monotonous, though he once used to have passion and drive. Then one day he discovers that he has stomach cancer and less than a year to live. After the initial depression he sets about living for the first time in over 20 years. Then he realises that his limited time left is not just for living life to the fullest, but to leave something meaningful behind.","$60,239",tt0044741,Not Rated
,North by Northwest,1959,,136,"Madison Avenue advertising man Roger Thornhill finds himself thrust into the world of spies when he is mistaken for a man by the name of George Kaplan. Foreign spy Philip Vandamm and his henchman Leonard try to eliminate him but when Thornhill tries to make sense of the case, he is framed for murder. Now on the run from the police, he manages to board the 20th Century Limited bound for Chicago where he meets a beautiful blond, Eve Kendall, who helps him to evade the authorities. His world is turned upside down yet again when he learns that Eve isn&#39;t the innocent bystander he thought she was. Not all is as it seems however, leading to a dramatic rescue and escape at the top of Mt. Rushmore.","$66,728",tt0053125,Approved
,The Apartment,1960,,125,"As of November 1, 1959, mild mannered C.C. Baxter has been working at Consolidated Life, an insurance company, for close to four years, and is one of close to thirty-two thousand employees located in their Manhattan head office. To distinguish himself from all the other lowly cogs in the company in the hopes of moving up the corporate ladder, he often works late, but only because he can&#39;t get into his apartment, located off of Central Park West, since he has provided it to a handful of company executives - Mssrs. Dobisch, Kirkeby, Vanderhoff and Eichelberger - on a rotating basis for their extramarital liaisons in return for a good word to the personnel director, Jeff D. Sheldrake. When Baxter is called into Sheldrake&#39;s office for the first time, he learns that it isn&#39;t just to be promoted as he expects, but also to add married Sheldrake to the list to who he will lend his apartment. Dobisch, Kirkeby, Vanderhoff and Eichelberger are now feeling neglected as Baxter no longer needs their assistance in moving up.","$18,600,000",tt0053604,Approved
,Vertigo,1958,,128,"Following his early retirement as a detective from the San Francisco Police Department, John Ferguson - Scottie to his friends - becomes obsessed with two women in succession, those obsessions which trouble his long time friend and former fiancée, Midge Wood, a designer of women&#39;s undergarments. The first is wealthy and elegant platinum blonde Madeleine Elster, the wife of his college acquaintance Gavin Elster, who hires John to follow her in Gavin&#39;s belief that she may be a danger to herself in thinking that she has recently been possessed by the spirit of Carlotta Valdes, Madeleine&#39;s great-grandmother who she knows nothing about, but who Gavin knows committed suicide in being mentally unbalanced when she was twenty-six, Madeleine&#39;s current age. The second is Judy Barton, who John spots on the street one day. Judy is a working class girl, but what makes John obsessed with her is that, despite her working class style and her brunette hair, she is the spitting image of Madeleine, into who he tries to transform Judy. The initial question that John has is if there is some connection between Madeleine and Judy. What happens between John and individually with Madeleine and Judy is affected by the reason John took that early retirement: a recent workplace incident that showed that he is acrophobic which leads to a severe case of vertigo whenever he looks down from tall heights.","$7,705,225",tt0052357,PG
,Le fabuleux destin d'Amélie Poulain,2001,,122,"Amélie is a story about a girl named Amélie whose childhood was suppressed by her Father&#39;s mistaken concerns of a heart defect. With these concerns Amélie gets hardly any real-life contact with other people. This leads Amélie to resort to her own fantastical world and dreams of love and beauty. She later on becomes a young woman and moves to the central part of Paris as a waitress. After finding a lost treasure belonging to the former occupant of her apartment, she decides to return it to him. After seeing his reaction and his new found perspective - she decides to devote her life to the people around her. Such as, her father who is obsessed with his garden-gnome, a failed writer, a hypochondriac, a man who stalks his ex girlfriends, the &quot;ghost,&quot; a suppressed young soul, the love of her life and a man whose bones are as brittle as glass. But after consuming herself with these escapades - she finds out that she is disregarding her own life and damaging her quest for love. Amélie then discovers she must become more aggressive and take a hold of her life and capture the beauty of love she has always dreamed of.","$33,225,499",tt0211915,R
,Double Indemnity,1944,,107,"In 1938, Walter Neff, an experienced salesman of the Pacific All Risk Insurance Co., meets the seductive wife of one of his clients, Phyllis Dietrichson, and they have an affair. Phyllis proposes to kill her husband to receive the proceeds of an accident insurance policy and Walter devises a scheme to receive twice the amount based on a double indemnity clause. When Mr. Dietrichson is found dead on a train track, the police accept the determination of accidental death. However, the insurance analyst and Walter&#39;s best friend Barton Keyes does not buy the story and suspects that Phyllis has murdered her husband with the help of another man.",Nan,tt0036775,Passed
,A Clockwork Orange,1971,,136,"Protagonist Alex DeLarge is an &quot;ultraviolent&quot; youth in futuristic Britain. As with all luck, his eventually runs out and he&#39;s arrested and convicted of murder. While in prison, Alex learns of an experimental program in which convicts are programmed to detest violence. If he goes through the program, his sentence will be reduced and he will be back on the streets sooner than expected. But Alex&#39;s ordeals are far from over once he hits the streets of Britain..","$26,617,553",tt0066921,X
,Full Metal Jacket,1987,,116,"A two-segment look at the effect of the military mindset and war itself on Vietnam era Marines. The first half follows a group of recruits in boot camp under the command of the punishing Gunnery Sergeant Hartman. The second half shows one of those recruits, Joker, covering the war as a correspondent for Stars and Stripes, focusing on the Tet offensive.","$46,357,676",tt0093058,R
,Scarface,1983,,170,"Tony Montana manages to leave Cuba during the Mariel exodus of 1980. He finds himself in a Florida refugee camp but his friend Manny has a way out for them: undertake a contract killing and arrangements will be made to get a green card. He&#39;s soon working for drug dealer Frank Lopez and shows his mettle when a deal with Colombian drug dealers goes bad. He also brings a new level of violence to Miami. Tony is protective of his younger sister but his mother knows what he does for a living and disowns him. Tony is impatient and wants it all however, including Frank&#39;s empire and his mistress Elvira Hancock. Once at the top however, Tony&#39;s outrageous actions make him a target and everything comes crumbling down.","$45,408,703",tt0086250,R
,Incendies,2010,,131,"A mother&#39;s last wishes send twins Jeanne and Simon on a journey to the Middle East in search of their tangled roots. Adapted from Wajdi Mouawad&#39;s acclaimed play, Incendies tells the powerful and moving tale of two young adults&#39; voyage to the core of deep-rooted hatred, never-ending wars and enduring love.","$2,071,334",tt1255953,R
,Hamilton,2020,,160,"&quot;Hamilton&quot; is the story of America then, told by America now. Featuring a score that blends hip-hop, jazz, R&amp;B, and show tunes, &quot;Hamilton&quot; has taken the story of American founding father Alexander Hamilton and created a revolutionary moment in theater--a musical that has had a profound impact on culture, politics, and education. Captured at the Richard Rodgers Theater on Broadway in June 2016, the film transports its audience into the world of the Broadway show in a uniquely intimate way.",Nan,tt8503618,PG-13
,Heat,1995,,170,"Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big &#39;retirement&#39; score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--&#39;Never have anything in your life that you can&#39;t walk out on in thirty seconds flat, if you spot the heat coming around the corner&#39;--as he falls in love. Thus the stage is set for the suspenseful ending....","$67,436,818",tt0113277,R
,Up,2009,,96,"As a boy, Carl Fredricksen wanted to explore South America and find the forbidden Paradise Falls. About 64 years later he gets to begin his journey along with Boy Scout Russell by lifting his house with thousands of balloons. On their journey, they make many new friends including a talking dog, and figure out that someone has evil plans. Carl soon realizes that this evildoer is his childhood idol.","$293,004,164",tt1049413,PG
,To Kill a Mockingbird,1962,,129,"In small-town Alabama in 1932, Atticus Finch (Gregory Peck) is a lawyer and a widower. He has two young children, Jem and Scout. Atticus Finch is currently defending Tom Robinson, a Black man accused of raping a white woman. Meanwhile, Jem and Scout are intrigued by their neighbors, the Radleys, in particular the mysterious, seldom-seen Boo Radley.","$592,237",tt0056592,Approved
,The Sting,1973,,129,"Johnny Hooker, a small time grifter, unknowingly steals from Doyle Lonnegan, a big time crime boss, when he pulls a standard street con. Lonnegan demands satisfaction for the insult. After his partner, Luther, is killed, Hooker flees, and seeks the help of Henry Gondorff, one of Luther&#39;s contacts, who is a master of the long con. Hooker wants to use Gondorff&#39;s expertise to take Lonnegan for an enormous sum of money to even the score, since he admits he &quot;doesn&#39;t know enough about killing to kill him.&quot; They devise a complicated scheme and amass a talented group of other con artists who want their share of the reparations. The stakes are high in this game, and our heroes must not only deal with Lonnegan&#39;s murderous tendencies, but also other side players who want a piece of the action. To win, Hooker and Gondorff will need all their skills...and a fair amount of confidence.","$156,000,000",tt0070735,PG
,Jodaeiye Nader az Simin,2011,,123,"Nader (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm1818216/"">Payman Maadi</a>) and Simin (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0368689/"">Leila Hatami</a>) argue about living abroad. Simin prefers to live abroad to provide better opportunities for their only daughter, Termeh. However, Nader refuses to go because he thinks he must stay in Iran and take care of his father (Ali-Asghar Shahbazi), who suffers from Alzheimers. However, Simin is determined to get a divorce and leave the country with her daughter.","$7,099,055",tt1832382,PG-13
,Metropolis,1927,,153,"Sometime in the future, the city of Metropolis is home to a Utopian society where its wealthy residents live a carefree life. One of those is Freder Fredersen. One day, he spots a beautiful woman with a group of children, she and the children quickly disappear. Trying to follow her, he is horrified to find an underground world of workers who apparently run the machinery that keeps the Utopian world above ground functioning. One of the few people above ground who knows about the world below is Freder&#39;s father, John Fredersen, who is the founder and master of Metropolis. Freder learns that the woman is called Maria, who espouses the need to join the &quot;hands&quot; - the workers - to the &quot;head&quot; - those in power above - by a mediator who will act as the &quot;heart&quot;. Freder wants to help the plight of the workers in their struggle for a better life. But when John learns of what Maria is advocating and that Freder has joined their cause, with the assistance of an old colleague. an inventor called Rotwang, who turns out to be But their nemesis goes to works towards quashing a proposed uprising, with Maria at the centre of their plan. John, unaware that Rotwang has his own agenda., makes plans that include shutting down the machines, with the prospect of unleashing total anarchy both above and below ground.","$1,236,166",tt0017136,Not Rated
,L.A. Confidential,1997,,138,"1950&#39;s Los Angeles is the seedy backdrop for this intricate noir-ish tale of police corruption and Hollywood sleaze. Three very different cops are all after the truth, each in their own style: Ed Exley, the golden boy of the police force, willing to do almost anything to get ahead, except sell out; Bud White, ready to break the rules to seek justice, but barely able to keep his raging violence under control; and Jack Vincennes, always looking for celebrity and a quick buck until his conscience drives him to join Exley and White down the one-way path to find the truth behind the dark world of L.A. crime.","$64,616,940",tt0119488,R
